,会社名,タイトル,初年度年収,掲載終了予定日
0,株式会社アイエスエフネット | 【大阪府緊急雇用対策に賛同】★インセンMAX60％★残業ほぼナシ,月35万～【ITエンジニア】★有給消化81％★在宅勤務OK／学歴不問 正社員,450万円～1000万円,掲載終了予定日： 2021/08/26
1,株式会社アイネスト | #夏季休暇9連休＆年末年始休暇17連休 #有給取得率100%,「作品」と呼ぶにふさわしい邸宅をプロデュースする【用地仕入】 正社員,480万円～800万円,掲載終了予定日： 2021/08/26
2,株式会社ライジングサンセキュリティーサービス | 【★未経験歓迎★入社祝金3万円あり】★面接1回,★埼玉募集★大型商業施設の【警備スタッフ】※応募者全員面接 正社員,300万円～450万円,掲載終了予定日： 2021/07/22
3,株式会社ライジングサンセキュリティーサービス | ☆★新規事業拡大につき50名大募集★☆出張面接も行っています！,福島支社募集【警備】★月給32万~最大42万円！★書類選考なし！ 正社員,300万円～600万円,掲載終了予定日： 2021/07/22
4,株式会社エンパワー | ◆買取専門店「大吉」◆ 4年連続「ベストベンチャー100」選出！,【買取スタッフ】20代で年収1000万円以上可！月残業は10h以内！ 正社員,400万円～700万円,掲載終了予定日： 2021/09/09
5,株式会社LUXSIA | ■九電工提携業務で安心■ 新規オフィス出店予定/ポストご用意,成長企業で活躍できる！【 提案営業 】未経験者歓迎/転勤なし 正社員,400万円～1000万円,掲載終了予定日： 2021/09/09
6,UTエイム株式会社 | 大阪府緊急雇用対策に賛同【東証一部上場グループ】,貯金UPを目指せる！【機械操作スタッフ】★月収42万円以上可能 正社員,300万円～500万円,掲載終了予定日： 2021/07/22
7,エーアイアールグループ合同募集 | ★中途採用者活躍中 ★平均年齢29歳 ★残業少なめ ★研修充実,【ルームアドバイザー】★1年目で月収85万円以上可 ★7月入社OK 正社員,450万円～1000万円,掲載終了予定日： 2021/08/26
8,ソフトバンク営業職合同募集 | 【条件満たす方全員、電話面談確約】★大阪府緊急雇用対策に賛同,ソフトバンクの【法人営業】未経験OK★高卒以上★35歳以下 正社員,,掲載終了予定日： 2021/08/05
9,株式会社アイエスエフネット | 【大阪府緊急雇用対策に賛同】★インセンMAX60％/69％が毎年昇給,年休126日×平均残業7.8h【ITエンジニア】在宅勤務OK／高卒以上 正社員,306万円～1000万円,掲載終了予定日： 2021/08/26
10,UTエイム株式会社 | 大阪府緊急雇用対策に賛同【東証一部上場グループ】★安定基盤,シンプルワーク中心【軽作業スタッフ(梱包・検品等)】未経験OK！ 正社員,300万円～500万円,掲載終了予定日： 2021/07/22
11,株式会社ライジングサンセキュリティーサービス | *入社祝金3万円あり*11時出社OK*未経験者大歓迎*週休2日制！,ブランドショップで活躍する【ドアマン(男女)】★名古屋限定募集 正社員,300万円～500万円,掲載終了予定日： 2021/07/22
12,UTエイム株式会社 | UTグループ株式会社(東証1部上場)のグループ企業★年休最大190日,未経験歓迎！【品質管理スタッフ】★月収UPも目指せる！ 正社員,300万円～500万円,掲載終了予定日： 2021/07/22
13,ジャパニアス株式会社 | ◇日本ディープラーニング協会加盟◇時間外100％支給◇転勤なし,大手中心に200社以上と取引【モノづくりエンジニア】★年休125日 正社員,380万円～900万円,掲載終了予定日： 2021/08/26
14,株式会社アサンテ | <東証一部上場>★創業50年&国内売上No.1の安定基盤★未経験OK,年齢&志望動機不問！【営業】★手取月50万～も可能★賞与4ヵ月分 正社員,450万円～550万円,掲載終了予定日： 2021/07/22
