,会社名,タイトル,初年度年収,掲載終了予定日
30,第一ビニール株式会社 | 半世紀以上ガーデニングや家庭菜園を支えてきたメーカーです,＜年間休日150日、週休3日制！＞で働ける【機械オペレーター】 正社員,300万円～400万円,掲載終了予定日： 2021/08/26
31,株式会社ホテル・アルファーワン尾道 | 遠方からのUIターンは★家賃全額補助★残業ほぼ無し！,サービス業だけど残業がない働き方！【ホテルフロントスタッフ】 正社員,,掲載終了予定日： 2021/10/07
32,株式会社ソレイユ・リビング・テック | Panasonicのリフォーム専門店【リファイン新松戸】,【リノベーションコーディネーター】★実働6.5H／週休3日もOK 正社員,280万円～350万円,掲載終了予定日： 2021/09/27
33,有限会社マサトモ | 地域に愛される姉ヶ崎どうぶつ病院◆ペット治療費割引あり,動物病院の【受付】月休10日以上◆賞与あり◆未経験OK 正社員,,掲載終了予定日： 2021/08/30
34,株式会社SpaceEstate | ムリなく働ける♪【フルリモートワーク /フルフレックス】,高い自由度&圧倒的に稼げるチャンス【営業スタッフ】★週休3日制 正社員,300万円～5000万円,掲載終了予定日： 2021/08/30
35,株式会社リグランツ | 「とある工務店」が業績好調｜転勤無｜大阪府緊急雇用対策に賛同,経験者優遇！リフォームの【外装・内装施工管理】前職給与を考慮 正社員,,掲載終了予定日： 2021/08/09
36,医療法人社団高輪会 | ◆残業代1分単位で支給 ◆休日は火・日＋他1日の週3日,★女性活躍中★【歯科アシスタント(歯科助手/受付)】未経験OK♪ 正社員,,掲載終了予定日： 2021/08/05
37,互信ホールディングス株式会社 | ★マイカー通勤OK★5連休も可★賞与年2回★20～60代活躍中,【タクシードライバー】★面接保証★80％以上が未経験スタート！ 契約社員,390万円～400万円,掲載終了予定日： 2021/08/26
38,株式会社ケーシーエス | 未経験OK/完全週休2日/月収45万円も可/普通免許があれば応募OK！,＼働き方が選べる！／【総合職(ドライバー・メンテナンス)】 正社員,,掲載終了予定日： 2021/08/26
39,関西不動産販売株式会社 | ＊女性比率47％／ワークライフバランスを大事にできる会社です＊,未経験OK！【事務スタッフ】完全週休2日／20～30代が活躍中♪ 正社員,,掲載終了予定日： 2021/08/02
40,イオンリチウムエナジー株式会社 | ◆新拠点が続々OPEN！立ち上げメンバーとして活躍するチャンスも,稼ぎたい方必見！年収1000万円越えも目指せる！【 反響営業 】 正社員,500万円～800万円,掲載終了予定日： 2021/07/19
41,株式会社Sun.gy | 【経験者は月給35万円以上】【大阪府緊急雇用対策に賛同】,Panasonic等の商材の【完全反響営業】※完全週休2日制 正社員,500万円～600万円,掲載終了予定日： 2021/08/12
42,遠東石塚グリーンペット株式会社 | 女性も活躍中！将来性のある当社でキャリアを積んでみませんか。,未経験から挑戦できる【倉庫物流管理スタッフ】 正社員,350万円～500万円,掲載終了予定日： 2021/08/09
43,遠東石塚グリーンペット株式会社 | 残業時間は年間で20時間以下！毎月7連休あり！,年休180日以上も可能！【設備メンテナンス】◆経験者歓迎！ 正社員,,掲載終了予定日： 2021/07/26
44,興和建設株式会社 | 《WEB面接も可能》売上高12億円／地域に根差した好調企業です！,性別問わず活躍！【総合職（土木施工管理／重機オペレーター）】 正社員,,掲載終了予定日： 2021/08/09
45,株式会社SR DINING | 今年オープンし年内予約満席のアンドセレナの会員制バーサロン,ソムリエ・バーテン・ホールスタッフ等の【ダイニングスタッフ】 正社員,300万円～600万円,掲載終了予定日： 2021/08/16
46,株式会社エルビーホールディングス | ＃Liberty Walkをバックオフィスから支える＃食事・家族手当あり,【 事務スタッフ 】★完全週休2日制＆定時退社が基本 正社員,250万円～400万円,掲載終了予定日： 2021/07/22
47,株式会社ヒルト | 60年以上、地域の食生活を支えてきた老舗企業　※UIターン歓迎！,【配送スタッフ】※週休3日から週休1日まで、休日を選べます！ 正社員,250万円～380万円,掲載終了予定日： 2021/07/29
48,株式会社ケイプロモーション | モデル・エンタメ業界の事務職/土日休み可/有給ほぼ100％消化,未経験OK*基本定時退社*イベント・派遣事業を支える【事務】 正社員,240万円～260万円,掲載終了予定日： 2021/08/12
49,株式会社プラスト | ★服装髪型＆ネイル自由★原則定時退社★女性活躍中♪,自由が丘で働く♪【事務スタッフ】未経験歓迎＊完全週休3日制＊ 正社員,280万円～350万円,掲載終了予定日： 2021/08/30
50,株式会社医道メディカル | 2015年設立の医療コンサルティング会社,品川駅徒歩圏内【検査スタッフ】（遺伝子検査・PCR検査など） 正社員,,掲載終了予定日： 2021/08/12
51,星田交通株式会社 | <大阪府緊急雇用対策に賛同>土日休OK／走行エリアは近隣周辺中心,地域密着型の【タクシードライバー】※お客様の7割が常連様♪ 正社員,270万円～420万円,掲載終了予定日： 2021/08/30
52,有限会社内山青果 | 【 創業91年！年3回ボーナスあり♪】★12時退社★応募者全員面接,野菜・果物の【 ルート配送 】★年間休日113日 ★未経験歓迎 正社員,,掲載終了予定日： 2021/07/26
53,株式会社SUN PRINTECH | 【大阪府緊急雇用対策に賛同】★閑散期は週休3日！★転勤なし,オリジナルTシャツなどの【プリント加工スタッフ】★未経験OK！ 正社員,320万円～400万円,掲載終了予定日： 2021/08/02
54,株式会社ベストペイント | ★年間休日148日★完全週休2日制（週休3日も可★平均年収805万円,完全反響型の【提案営業】直行直帰スタイル＆転勤ナシ！ 正社員,,掲載終了予定日： 2021/07/22
55,株式会社医道メディカル | 2015年設立の医療コンサルティング会社,クリニックの【医療事務】（カスタマーサービス）※未経験歓迎 正社員,,掲載終了予定日： 2021/07/29
56,サンリツサービス株式会社 | 《グループ創業50年以上！医療機関や公的機関と安定取引》,20代活躍中♪完全週休2日制＊クリニック等への【ルート集荷】 契約社員,270万円～300万円,掲載終了予定日： 2021/07/29
57,豊和土木有限会社 | 《完全週休3日も相談可》休みとお給料のバランスを相談できます,経験者は月給46万以上も可【工事スタッフ】プライベートの優先OK 正社員,450万円～700万円,掲載終了予定日： 2021/07/22
58,ラピアスデザイン株式会社 | ☆★6月にデリバリー専門店「TGAL」が三重県に初進出★☆,飲食デリバリー専門店の【調理・配送スタッフ】オープニング募集 パート・アルバイト,,掲載終了予定日： 2021/07/22
59,株式会社ブラン | ★全国11拠点で医療脱毛「ブランクリニック」を運営,★年休139日以上/週休3日OK！/残業少なめ【受付コンシェルジュ】 正社員,300万円～400万円,掲載終了予定日： 2021/07/22
60,株式会社ジーエー | ＜個別指導のキャンパス＞ 楽しい教室、質問しやすい環境を実践,【教室運営スタッフ】 ◎年間休日120日 ☆残業は月平均1時間 正社員,270万円～520万円,掲載終了予定日： 2021/07/22
61,株式会社ジェイエムエー | 採用祝い金あり/前払いOK/レンタル車あり☆応募者全員面接◎,【配送ドライバー】社会保険・厚生年金加入可能《高収入を実現》 業務委託,500万円～750万円,掲載終了予定日： 2021/07/22
62,株式会社ぶらんち | <コロナ禍でも成長>★本社近く(港区)に社宅あり ★Web面接実施中,【事務スタッフ】★残業ほぼなし ★完全週休3日の働き方もOK！ 正社員,300万円～450万円,掲載終了予定日： 2021/07/19
63,株式会社ぶらんち | ★応募者全員面接★面接1回★資格取得も全額負担★上京支援有,20～70代女性が活躍中！【ケアスタッフ】年休170日★完全週休3日 正社員,300万円～550万円,掲載終了予定日： 2021/07/19
64,アサヒ鐵鋼販売株式会社 | 【完全週休2～3日のレア求人】★14時退社OK！勤務スタイル応相談,博多エリア勤務&最寄り駅徒歩3分の好立地★【CAD事務】 契約社員,,掲載終了予定日： 2021/07/29
65,株式会社かんこう | 【京阪ホールディングスグループ】取引先は官公庁・京阪電鉄など,東証一部上場グループで働く【測量スタッフ】★閑散期は週休3日 正社員,400万円～700万円,掲載終了予定日： 2021/09/02
66,"株式会社rapid | 昇給15万円,賞与1回で120万円,年収868万円も可、完週休3日制も可",“接客・販売のプロ”になれる【販売支援スタッフ】月給25万円～ 正社員,350万円～850万円,掲載終了予定日： 2021/07/22
67,TRASP株式会社 | 週休3日制導入/未経験歓迎/フレックスタイム等柔軟な働きが可能,100%Web商談★顧客の課題を解決する【Webコンサルティング営業】 正社員,,掲載終了予定日： 2021/08/05
